x,id,location,date,time,date_time,season,year,season_year
1,Waimanalo_Site_1_1,Waimanalo_Site_1,1/1/00,,1,,,
2,Waimanalo_Site_2_1,Waimanalo_Site_2,1/1/00,,1,,,
3,Waimanalo_Site_4_1,Waimanalo_Site_4,1/1/00,,1,,,
4,Bayfront_42569,Bayfront,7/18/16,8:04 AM,42569.33611,SUMMER,2016,SUMMER_2016
5,Honolii_42569,Honolii,7/18/16,7:30 AM,42569.3125,SUMMER,2016,SUMMER_2016
6,Onekahakaha_42569,Onekahakaha,7/18/16,8:31 AM,42569.35486,SUMMER,2016,SUMMER_2016
7,Richardson_42569,Richardson,7/18/16,8:55 AM,42569.37153,SUMMER,2016,SUMMER_2016
8,Hookuaaina_42581,Hookuaaina,7/30/16,,42581,SUMMER,2016,SUMMER_2016
9,Bayfront_42892,Bayfront,6/6/17,7:55 AM,42892.32986,SUMMER,2017,SUMMER_2017
10,Honolii_42892,Honolii,6/6/17,7:26 AM,42892.30972,SUMMER,2017,SUMMER_2017
11,Onekahakaha_42892,Onekahakaha,6/6/17,8:21 AM,42892.34792,SUMMER,2017,SUMMER_2017
12,Richardson_42892,Richardson,6/6/17,8:40 AM,42892.36111,SUMMER,2017,SUMMER_2017
13,Bayfront_42900,Bayfront,6/14/17,8:50 AM,42900.36806,SUMMER,2017,SUMMER_2017
14,Honolii_42900,Honolii,6/14/17,7:25 AM,42900.30903,SUMMER,2017,SUMMER_2017
15,Onekahakaha_42900,Onekahakaha,6/14/17,8:06 AM,42900.3375,SUMMER,2017,SUMMER_2017
16,Richardson_42900,Richardson,6/14/17,8:22 AM,42900.34861,SUMMER,2017,SUMMER_2017
17,Bayfront_42915,Bayfront,6/29/17,7:19 AM,42915.30486,SUMMER,2017,SUMMER_2017
18,Honolii_42915,Honolii,6/29/17,6:47 AM,42915.28264,SUMMER,2017,SUMMER_2017
19,Onekahakaha_42915,Onekahakaha,6/29/17,7:21 AM,42915.30625,SUMMER,2017,SUMMER_2017
20,Richardson_42915,Richardson,6/29/17,7:02 AM,42915.29306,SUMMER,2017,SUMMER_2017
21,Kahua_Waipunalau_42948,Kahua_Waipunalau,8/1/17,12:00 AM,42948,SUMMER,2017,SUMMER_2017
22,Waipunalau_Paauilo_42948,Waipunalau_Paauilo,8/1/17,12:00 AM,42948,SUMMER,2017,SUMMER_2017
23,Waipunalau_Pakii_42948,Waipunalau_Pakii,8/1/17,12:00 AM,42948,SUMMER,2017,SUMMER_2017
24,Waihalulu_42952,Waihalulu,8/5/17,12:00 AM,42952,SUMMER,2017,SUMMER_2017
25,Puhi_Bay_43055,Puhi_Bay,11/16/17,7:15 AM,43055.30208,WINTER,2017,WINTER_2017
26,Reeds_Bay_43055,Reeds_Bay,11/16/17,7:36 AM,43055.31667,WINTER,2017,WINTER_2017
27,Kalapahapuu_43068,Kalapahapuu,11/29/17,12:00 AM,43068,WINTER,2017,WINTER_2017
28,Lepelau_43068,Lepelau,11/29/17,12:00 AM,43068,WINTER,2017,WINTER_2017
29,Lepelau_43075,Lepelau,12/6/17,12:00 AM,43075,WINTER,2017,WINTER_2017
30,Puhi_Bay_43076,Puhi_Bay,12/7/17,7:03 AM,43076.29375,WINTER,2017,WINTER_2017
31,Reeds_Bay_43076,Reeds_Bay,12/7/17,6:54 AM,43076.2875,WINTER,2017,WINTER_2017
32,3rd_Loi_3rd_Row_43103,3rd_Loi_3rd_Row,1/3/18,,43103,WINTER,2018,WINTER_2017
33,Kopakaweli_43103,Kopakaweli,1/3/18,,43103,WINTER,2018,WINTER_2017
34,Loi_2nd_Row_3rd_Loi_43103,Loi_2nd_Row_3rd_Loi,1/3/18,,43103,WINTER,2018,WINTER_2017
35,Loi_Kuahiwi_43103,Loi_Kuahiwi,1/3/18,,43103,WINTER,2018,WINTER_2017
36,Papahana.AUWAI_43103,Papahana.AUWAI,1/3/18,,43103,WINTER,2018,WINTER_2017
37,Papahana.HOI_43103,Papahana.HOI,1/3/18,,43103,WINTER,2018,WINTER_2017
38,Puna_43103,Puna,1/3/18,,43103,WINTER,2018,WINTER_2017
39,Small_Kuahiwi_43103,Small_Kuahiwi,1/3/18,,43103,WINTER,2018,WINTER_2017
40,Puhi_Bay_43124,Puhi_Bay,1/24/18,7:34 AM,43124.31574,WINTER,2018,WINTER_2017
41,Reeds_Bay_43124,Reeds_Bay,1/24/18,7:20 AM,43124.30556,WINTER,2018,WINTER_2017
42,Puhi_Bay_43152,Puhi_Bay,2/21/18,8:21 AM,43152.34792,WINTER,2018,WINTER_2017
43,Reeds_Bay_43152,Reeds_Bay,2/21/18,8:36 AM,43152.35833,WINTER,2018,WINTER_2017
44,Ulupo.Stream_43158,Ulupo.Stream,2/27/18,,43158,WINTER,2018,WINTER_2017
45,Puhi_Bay_43159,Puhi_Bay,2/28/18,7:55 AM,43159.32986,WINTER,2018,WINTER_2017
46,Reeds_Bay_43159,Reeds_Bay,2/28/18,7:35 AM,43159.31597,WINTER,2018,WINTER_2017
47,Waimea_4_43165,Waimea_4,3/6/18,,43165,SPRING,2018,SPRING_2018
48,Waimea_5_43165,Waimea_5,3/6/18,,43165,SPRING,2018,SPRING_2018
49,Waimea_6_43165,Waimea_6,3/6/18,,43165,SPRING,2018,SPRING_2018
50,Waimea_7_43165,Waimea_7,3/6/18,,43165,SPRING,2018,SPRING_2018
51,Onekahakaha_43166,Onekahakaha,3/7/18,7:26 AM,43166.30972,SPRING,2018,SPRING_2018
52,Richardson_43166,Richardson,3/7/18,7:06 AM,43166.29583,SPRING,2018,SPRING_2018
53,Bayfront_43180,Bayfront,3/21/18,7:50 AM,43180.32639,SPRING,2018,SPRING_2018
54,Honolii_43180,Honolii,3/21/18,8:05 AM,43180.33681,SPRING,2018,SPRING_2018
55,Puhi_Bay_43194,Puhi_Bay,4/4/18,7:40 AM,43194.31944,SPRING,2018,SPRING_2018
56,Reeds_Bay_43194,Reeds_Bay,4/4/18,7:20 AM,43194.30556,SPRING,2018,SPRING_2018
57,Onekahakaha_43201,Onekahakaha,4/11/18,7:26 AM,43201.30972,SPRING,2018,SPRING_2018
58,Richardson_43201,Richardson,4/11/18,7:50 AM,43201.32639,SPRING,2018,SPRING_2018
59,Bayfront_43208,Bayfront,4/18/18,6:47 AM,43208.28264,SPRING,2018,SPRING_2018
60,Honolii_43208,Honolii,4/18/18,7:07 AM,43208.29653,SPRING,2018,SPRING_2018
61,Sumida.ctywtrwashtub_43222,Sumida.ctywtrwashtub,5/2/18,,43222,SPRING,2018,SPRING_2018
62,Sumida.Makai_Sump_Pump_43222,Sumida.Makai_Sump_Pump,5/2/18,,43222,SPRING,2018,SPRING_2018
63,Sumida.Mauka_Spring_43222,Sumida.Mauka_Spring,5/2/18,,43222,SPRING,2018,SPRING_2018
64,Sumida.Middle_Spring_43222,Sumida.Middle_Spring,5/2/18,,43222,SPRING,2018,SPRING_2018
65,Sumida.sprwashtub_43222,Sumida.sprwashtub,5/2/18,,43222,SPRING,2018,SPRING_2018
66,C_MAIKI_Site_5_43230,C_MAIKI_Site_5,5/10/18,,43230,SPRING,2018,SPRING_2018
67,Waimea_5_43230,Waimea_5,5/10/18,,43230,SPRING,2018,SPRING_2018
68,Waimea_6_43230,Waimea_6,5/10/18,,43230,SPRING,2018,SPRING_2018
69,Waimea_7_43230,Waimea_7,5/10/18,,43230,SPRING,2018,SPRING_2018
70,KapunaFarms.Hoiwai_43244,KapunaFarms.Hoiwai,5/24/18,,43244,SPRING,2018,SPRING_2018
71,KapunaFarms.Maluhia_Makawai_43244,KapunaFarms.Maluhia_Makawai,5/24/18,,43244,SPRING,2018,SPRING_2018
72,KapunaFarms.Poowai_43244,KapunaFarms.Poowai,5/24/18,,43244,SPRING,2018,SPRING_2018
73,KapunaFarms.tub_43244,KapunaFarms.tub,5/24/18,,43244,SPRING,2018,SPRING_2018
74,Sumida.F2_43261,Sumida.F2,6/10/18,,43261,SUMMER,2018,SUMMER_2018
75,Sumida.Makai_Sump_Pump_43261,Sumida.Makai_Sump_Pump,6/10/18,,43261,SUMMER,2018,SUMMER_2018
76,Sumida.Mauka_Spring_43261,Sumida.Mauka_Spring,6/10/18,,43261,SUMMER,2018,SUMMER_2018
77,Sumida.Middle_Spring_43261,Sumida.Middle_Spring,6/10/18,,43261,SUMMER,2018,SUMMER_2018
78,Sumida.P8_43261,Sumida.P8,6/10/18,,43261,SUMMER,2018,SUMMER_2018
79,Waimea_1_43276,Waimea_1,6/25/18,12:00 AM,43276,SUMMER,2018,SUMMER_2018
80,Waimea_2_43276,Waimea_2,6/25/18,12:00 AM,43276,SUMMER,2018,SUMMER_2018
81,Waimea_3_43276,Waimea_3,6/25/18,12:00 AM,43276,SUMMER,2018,SUMMER_2018
82,Waimea_4_43276,Waimea_4,6/25/18,12:00 AM,43276,SUMMER,2018,SUMMER_2018
83,Waimea_5_43276,Waimea_5,6/25/18,12:00 AM,43276,SUMMER,2018,SUMMER_2018
84,Waimea_6_43276,Waimea_6,6/25/18,12:00 AM,43276,SUMMER,2018,SUMMER_2018
85,Waimea_7_43276,Waimea_7,6/25/18,12:00 AM,43276,SUMMER,2018,SUMMER_2018
86,Waimea_8_43276,Waimea_8,6/25/18,12:00 AM,43276,SUMMER,2018,SUMMER_2018
87,Waimea_9_43276,Waimea_9,6/25/18,12:00 AM,43276,SUMMER,2018,SUMMER_2018
88,Waimea_10_43276,Waimea_10,6/25/18,12:00 AM,43276,SUMMER,2018,SUMMER_2018
89,Waimea_11_43276,Waimea_11,6/25/18,12:00 AM,43276,SUMMER,2018,SUMMER_2018
90,Waimea_1_43278,Waimea_1,6/27/18,12:00 AM,43278,SUMMER,2018,SUMMER_2018
91,Waimea_2_43278,Waimea_2,6/27/18,12:00 AM,43278,SUMMER,2018,SUMMER_2018
92,Waimea_3_43278,Waimea_3,6/27/18,12:00 AM,43278,SUMMER,2018,SUMMER_2018
93,Waimea_4_43278,Waimea_4,6/27/18,12:00 AM,43278,SUMMER,2018,SUMMER_2018
94,Waimea_5_43278,Waimea_5,6/27/18,12:00 AM,43278,SUMMER,2018,SUMMER_2018
95,Waimea_6_43278,Waimea_6,6/27/18,12:00 AM,43278,SUMMER,2018,SUMMER_2018
96,Waimea_7_43278,Waimea_7,6/27/18,12:00 AM,43278,SUMMER,2018,SUMMER_2018
97,Waimea_8_43278,Waimea_8,6/27/18,12:00 AM,43278,SUMMER,2018,SUMMER_2018
98,Waimea_9_43278,Waimea_9,6/27/18,12:00 AM,43278,SUMMER,2018,SUMMER_2018
99,Waimea_10_43278,Waimea_10,6/27/18,12:00 AM,43278,SUMMER,2018,SUMMER_2018
100,Waimea_11_43278,Waimea_11,6/27/18,12:00 AM,43278,SUMMER,2018,SUMMER_2018
101,Bayfront_43291,Bayfront,7/10/18,6:28 AM,43291.26944,SUMMER,2018,SUMMER_2018
102,Honolii_43291,Honolii,7/10/18,7:00 AM,43291.29167,SUMMER,2018,SUMMER_2018
103,Onekahakaha_43291,Onekahakaha,7/10/18,7:21 AM,43291.30625,SUMMER,2018,SUMMER_2018
104,Reeds_Bay_43291,Reeds_Bay,7/10/18,6:33 AM,43291.27292,SUMMER,2018,SUMMER_2018
105,Richardson_43291,Richardson,7/10/18,6:45 AM,43291.28125,SUMMER,2018,SUMMER_2018
106,Sumida.F3_43293,Sumida.F3,7/12/18,,43293,SUMMER,2018,SUMMER_2018
107,Sumida.Makai_Sump_Pump_43293,Sumida.Makai_Sump_Pump,7/12/18,,43293,SUMMER,2018,SUMMER_2018
108,Sumida.Mauka_Spring_43293,Sumida.Mauka_Spring,7/12/18,,43293,SUMMER,2018,SUMMER_2018
109,Sumida.Middle_Spring_43293,Sumida.Middle_Spring,7/12/18,,43293,SUMMER,2018,SUMMER_2018
110,Sumida.Q8_43293,Sumida.Q8,7/12/18,,43293,SUMMER,2018,SUMMER_2018
111,Bayfront_43298,Bayfront,7/17/18,6:12 AM,43298.25833,SUMMER,2018,SUMMER_2018
112,Honolii_43298,Honolii,7/17/18,6:42 AM,43298.27917,SUMMER,2018,SUMMER_2018
113,Onekahakaha_43298,Onekahakaha,7/17/18,6:14 AM,43298.25972,SUMMER,2018,SUMMER_2018
114,Reeds_Bay_43298,Reeds_Bay,7/17/18,7:09 AM,43298.29792,SUMMER,2018,SUMMER_2018
115,Richardson_43298,Richardson,7/17/18,6:54 AM,43298.2875,SUMMER,2018,SUMMER_2018
116,KKO_2_43305,KKO_2,7/24/18,,43305,SUMMER,2018,SUMMER_2018
117,KKO_3_43305,KKO_3,7/24/18,,43305,SUMMER,2018,SUMMER_2018
118,Bayfront_43305,Bayfront,7/24/18,7:24 AM,43305.30833,SUMMER,2018,SUMMER_2018
119,KKO_Bridge_43305,KKO_Bridge,7/24/18,,43305,SUMMER,2018,SUMMER_2018
120,KKO_Excavation_43305,KKO_Excavation,7/24/18,,43305,SUMMER,2018,SUMMER_2018
121,Honolii_43305,Honolii,7/24/18,6:15 AM,43305.26042,SUMMER,2018,SUMMER_2018
122,KKO_Muliwai_43305,KKO_Muliwai,7/24/18,,43305,SUMMER,2018,SUMMER_2018
123,Onekahakaha_43305,Onekahakaha,7/24/18,5:45 AM,43305.23958,SUMMER,2018,SUMMER_2018
124,Reeds_Bay_43305,Reeds_Bay,7/24/18,7:00 AM,43305.29167,SUMMER,2018,SUMMER_2018
125,Richardson_43305,Richardson,7/24/18,6:40 AM,43305.27778,SUMMER,2018,SUMMER_2018
126,KKO_Sulfur_43305,KKO_Sulfur,7/24/18,,43305,SUMMER,2018,SUMMER_2018
127,Bayfront_43311,Bayfront,7/30/18,7:20 AM,43311.30556,SUMMER,2018,SUMMER_2018
128,Honolii_43311,Honolii,7/30/18,6:18 AM,43311.2625,SUMMER,2018,SUMMER_2018
129,Onekahakaha_43311,Onekahakaha,7/30/18,5:54 AM,43311.24583,SUMMER,2018,SUMMER_2018
130,Reeds_Bay_43311,Reeds_Bay,7/30/18,6:54 AM,43311.2875,SUMMER,2018,SUMMER_2018
131,Richardson_43311,Richardson,7/30/18,6:36 AM,43311.275,SUMMER,2018,SUMMER_2018
132,C-MAIKI_Site_4_43312,C-MAIKI_Site_4,7/31/18,,43312,SUMMER,2018,SUMMER_2018
133,Bayfront_43326,Bayfront,8/14/18,7:14 AM,43326.30139,SUMMER,2018,SUMMER_2018
134,Honolii_43326,Honolii,8/14/18,5:57 AM,43326.24792,SUMMER,2018,SUMMER_2018
135,Onekahakaha_43326,Onekahakaha,8/14/18,5:35 AM,43326.23264,SUMMER,2018,SUMMER_2018
136,Reeds_Bay_43326,Reeds_Bay,8/14/18,6:30 AM,43326.27083,SUMMER,2018,SUMMER_2018
137,Richardson_43326,Richardson,8/14/18,6:11 AM,43326.25764,SUMMER,2018,SUMMER_2018
138,Bayfront_43327,Bayfront,8/15/18,6:48 AM,43327.28333,SUMMER,2018,SUMMER_2018
139,Honolii_43327,Honolii,8/15/18,6:10 AM,43327.25694,SUMMER,2018,SUMMER_2018
140,Onekahakaha_43327,Onekahakaha,8/15/18,5:45 AM,43327.23958,SUMMER,2018,SUMMER_2018
141,Reeds_Bay_43327,Reeds_Bay,8/15/18,6:50 AM,43327.28472,SUMMER,2018,SUMMER_2018
142,Richardson_43327,Richardson,8/15/18,6:24 AM,43327.26667,SUMMER,2018,SUMMER_2018
143,Bayfront_43340,Bayfront,8/28/18,7:08 AM,43340.29722,SUMMER,2018,SUMMER_2018
144,Honolii_43340,Honolii,8/28/18,6:15 AM,43340.26042,SUMMER,2018,SUMMER_2018
145,Onekahakaha_43340,Onekahakaha,8/28/18,5:55 AM,43340.24653,SUMMER,2018,SUMMER_2018
146,Reeds_Bay_43340,Reeds_Bay,8/28/18,6:44 AM,43340.28056,SUMMER,2018,SUMMER_2018
147,Richardson_43340,Richardson,8/28/18,6:28 AM,43340.26944,SUMMER,2018,SUMMER_2018
148,Sumida.A2_43340,Sumida.A2,8/28/18,,43340,SUMMER,2018,SUMMER_2018
149,Sumida.B1_43340,Sumida.B1,8/28/18,,43340,SUMMER,2018,SUMMER_2018
150,Sumida.Makai_Sump_Pump_43340,Sumida.Makai_Sump_Pump,8/28/18,,43340,SUMMER,2018,SUMMER_2018
151,Sumida.Mauka_Spring_43340,Sumida.Mauka_Spring,8/28/18,,43340,SUMMER,2018,SUMMER_2018
152,Sumida.Middle_Spring_43340,Sumida.Middle_Spring,8/28/18,,43340,SUMMER,2018,SUMMER_2018
153,Sumida.B2_43362,Sumida.B2,9/19/18,,43362,FALL,2018,FALL_2018
154,Sumida.Makai_Sump_Pump_43362,Sumida.Makai_Sump_Pump,9/19/18,,43362,FALL,2018,FALL_2018
155,Sumida.Mauka_Spring_43362,Sumida.Mauka_Spring,9/19/18,,43362,FALL,2018,FALL_2018
156,Sumida.Middle_Spring_43362,Sumida.Middle_Spring,9/19/18,,43362,FALL,2018,FALL_2018
157,Sumida.P8_43362,Sumida.P8,9/19/18,,43362,FALL,2018,FALL_2018
158,Bayfront_43367,Bayfront,9/24/18,7:02 AM,43367.29306,FALL,2018,FALL_2018
159,Honolii_43367,Honolii,9/24/18,6:13 AM,43367.25903,FALL,2018,FALL_2018
160,Onekahakaha_43367,Onekahakaha,9/24/18,5:49 AM,43367.24236,FALL,2018,FALL_2018
161,Reeds_Bay_43367,Reeds_Bay,9/24/18,6:45 AM,43367.28125,FALL,2018,FALL_2018
162,Richardson_43367,Richardson,9/24/18,6:30 AM,43367.27083,FALL,2018,FALL_2018
163,Bayfront_43375,Bayfront,10/2/18,7:03 AM,43375.29375,FALL,2018,FALL_2018
164,Honolii_43375,Honolii,10/2/18,5:20 AM,43375.22222,FALL,2018,FALL_2018
165,Onekahakaha_43375,Onekahakaha,10/2/18,5:47 AM,43375.24097,FALL,2018,FALL_2018
166,Reeds_Bay_43375,Reeds_Bay,10/2/18,6:36 AM,43375.275,FALL,2018,FALL_2018
167,Richardson_43375,Richardson,10/2/18,6:17 AM,43375.26181,FALL,2018,FALL_2018
168,Bayfront_43388,Bayfront,10/15/18,6:56 AM,43388.28889,FALL,2018,FALL_2018
169,Honolii_43388,Honolii,10/15/18,6:13 AM,43388.25903,FALL,2018,FALL_2018
170,Onekahakaha_43388,Onekahakaha,10/15/18,5:51 AM,43388.24375,FALL,2018,FALL_2018
171,Reeds_Bay_43388,Reeds_Bay,10/15/18,6:43 AM,43388.27986,FALL,2018,FALL_2018
172,Richardson_43388,Richardson,10/15/18,6:28 AM,43388.26944,FALL,2018,FALL_2018
173,Sumida.F2_43389,Sumida.F2,10/16/18,,43389,FALL,2018,FALL_2018
174,Sumida.Makai_Sump_Pump_43389,Sumida.Makai_Sump_Pump,10/16/18,,43389,FALL,2018,FALL_2018
175,Sumida.Mauka_Spring_43389,Sumida.Mauka_Spring,10/16/18,,43389,FALL,2018,FALL_2018
176,Sumida.Middle_Spring_43389,Sumida.Middle_Spring,10/16/18,,43389,FALL,2018,FALL_2018
177,Sumida.S8/S9_43389,Sumida.S8/S9,10/16/18,,43389,FALL,2018,FALL_2018
178,Bayfront_43396,Bayfront,10/23/18,7:06 AM,43396.29583,FALL,2018,FALL_2018
179,Honolii_43396,Honolii,10/23/18,6:13 AM,43396.25903,FALL,2018,FALL_2018
180,Onekahakaha_43396,Onekahakaha,10/23/18,5:49 AM,43396.24236,FALL,2018,FALL_2018
181,Reeds_Bay_43396,Reeds_Bay,10/23/18,6:42 AM,43396.27917,FALL,2018,FALL_2018
182,Richardson_43396,Richardson,10/23/18,6:25 AM,43396.26736,FALL,2018,FALL_2018
183,Waimea_Ocean_Site_M1D_43398,Waimea_Ocean_Site_M1D,10/25/18,,43398,FALL,2018,FALL_2018
184,Waimea_Ocean_Site_M1S_43398,Waimea_Ocean_Site_M1S,10/25/18,,43398,FALL,2018,FALL_2018
185,Waimea_Ocean_Site_M3D_43398,Waimea_Ocean_Site_M2D,10/25/18,,43398,FALL,2018,FALL_2018
186,Waimea_Ocean_Site_M3S_43398,Waimea_Ocean_Site_M2S,10/25/18,,43398,FALL,2018,FALL_2018
